Number of customers: 2960620
Cust. 172.	611391	20.0%	[55344, 15054, 111074, 57134, 11938, 21832, 54376, 52914, 31053, 95119]
Cust. 173.	1792164	30.0%	[40995, 26391, 79202, 104911, 26070, 44323, 30591, 71050, 105792, 103602]
Cust. 174.	172578	10.0%	[62026, 80622, 100868, 102481, 51803, 50986, 3123, 69857, 21872, 30391]
Cust. 176.	1792164	30.0%	[40995, 26391, 79202, 104911, 26070, 44323, 30591, 71050, 105792, 103602]
Cust. 181.	1868657	10.0%	[118835, 39021, 52019, 58986, 43254, 75575, 9684, 54844, 69086, 46573]
Cust. 184.	1109957	40.0%	[34136, 34772, 14110, 82423, 21802, 82174, 29673, 50689, 107300, 16816]
Cust. 187.	2104705	10.0%	[25324, 92066, 79192, 33662, 50611, 103953, 120999, 5984, 81428, 46579]
Cust. 189.	262051	20.0%	[115280, 62752, 118264, 118730, 80729, 121145, 38025, 18235, 19189, 67284]
Cust. 190.	1109957	40.0%	[34136, 34772, 14110, 82423, 21802, 82174, 29673, 50689, 107300, 16816]
Cust. 191.	1380100	40.0%	[66069, 77697, 86493, 69302, 81674, 84077, 6701, 64356, 45652, 8598]
Cust. 192.	1792164	30.0%	[40995, 26391, 79202, 104911, 26070, 44323, 30591, 71050, 105792, 103602]
Cust. 194.	1109957	40.0%	[34136, 34772, 14110, 82423, 21802, 82174, 29673, 50689, 107300, 16816]
Cust. 197.	684929	30.0%	[64453, 34698, 58630, 12941, 94097, 70479, 40000, 94804, 73400, 81223]
Cust. 198.	611391	20.0%	[55344, 15054, 111074, 57134, 11938, 21832, 54376, 52914, 31053, 95119]
Cust. 201.	2056384	20.0%	[38136, 11417, 75343, 101345, 66668, 106317, 111246, 95480, 82093, 118427]
Cust. 202.	1607497	10.0%	[68735, 91820, 67011, 52470, 99479, 113451, 72173, 78613, 84851, 25425]
Cust. 205.	1998698	10.0%	[8026, 12464, 11519, 19358, 69435, 120317, 65923, 99816, 64163, 95239]
